Name,Price,Rating,Review_count,Availabilty,Link
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,319.00,4.5 out of 5 stars,"2,354 ratings",In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02599852KPO7H08VIZ5M&url=%2FWorlds-Greatest-Personal-Growth-Wealth%2Fdp%2F9389432014%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1612338311%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1612338311&id=1888115417853305&widgetName=sp_atf
As A Man Thinketh (Pocket Classics),67.00,4.3 out of 5 stars,135 ratings,In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A020332232MJD03ZCP36F&url=%2FAs-Man-Thinketh-Pocket-Classics%2Fdp%2F9388144392%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1612338311%26sr%3D8-2-spons%26psc%3D1&qualifier=1612338311&id=1888115417853305&widgetName=sp_atf
Attitude Is Everything: Change Your Attitude ... Change Your Life!,136.00,4.5 out of 5 stars,"5,590 ratings",In stock.,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=sr_1_3?dchild=1&keywords=books&qid=1612338311&sr=8-3
Ikigai: The Japanese secret to a long and happy life,306.00,4.6 out of 5 stars,"8,138 ratings",In stock.,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=sr_1_4?dchild=1&keywords=books&qid=1612338311&sr=8-4
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,284.00,4.7 out of 5 stars,"7,679 ratings",In stock.,https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=sr_1_5?dchild=1&keywords=books&qid=1612338311&sr=8-5
Sapiens: A Brief History of Humankind,440.00,4.6 out of 5 stars,"27,102 ratings",In stock.,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=sxin_11?ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=0099590085&cv_ct_cx=books&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=books&linkCode=oas&pd_rd_i=0099590085&pd_rd_r=b2f8a659-a1a1-44d0-a7de-7cb7ec23d0fc&pd_rd_w=8iuDr&pd_rd_wg=P7xzS&pf_rd_p=9711564d-930f-42d4-810f-a6eff7a95d66&pf_rd_r=AA66J25FJPJ8XAP3ZJZ6&qid=1612338311&sr=1-1-5b72de9d-29e4-4d53-b588-61ea05f598f4&tag=reviewsin-21
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,284.00,4.7 out of 5 stars,"7,679 ratings",In stock.,https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=sxin_11?ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=0008386595&cv_ct_cx=books&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=books&linkCode=oas&pd_rd_i=0008386595&pd_rd_r=b2f8a659-a1a1-44d0-a7de-7cb7ec23d0fc&pd_rd_w=8iuDr&pd_rd_wg=P7xzS&pf_rd_p=9711564d-930f-42d4-810f-a6eff7a95d66&pf_rd_r=AA66J25FJPJ8XAP3ZJZ6&qid=1612338311&sr=1-2-5b72de9d-29e4-4d53-b588-61ea05f598f4&tag=reviewsin-21
Ikigai: The Japanese secret to a long and happy life,306.00,4.6 out of 5 stars,"8,138 ratings",In stock.,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=sxin_11?ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=178633089X&cv_ct_cx=books&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=books&linkCode=oas&pd_rd_i=178633089X&pd_rd_r=b2f8a659-a1a1-44d0-a7de-7cb7ec23d0fc&pd_rd_w=8iuDr&pd_rd_wg=P7xzS&pf_rd_p=9711564d-930f-42d4-810f-a6eff7a95d66&pf_rd_r=AA66J25FJPJ8XAP3ZJZ6&qid=1612338311&sr=1-3-5b72de9d-29e4-4d53-b588-61ea05f598f4&tag=reviewsin-21
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,319.00,4.5 out of 5 stars,"2,354 ratings",In stock.,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sxin_11?ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=9389432014&cv_ct_cx=books&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=books&linkCode=oas&pd_rd_i=9389432014&pd_rd_r=b2f8a659-a1a1-44d0-a7de-7cb7ec23d0fc&pd_rd_w=8iuDr&pd_rd_wg=P7xzS&pf_rd_p=9711564d-930f-42d4-810f-a6eff7a95d66&pf_rd_r=AA66J25FJPJ8XAP3ZJZ6&qid=1612338311&sr=1-4-5b72de9d-29e4-4d53-b588-61ea05f598f4&tag=reviewsin-21
"NTA UGC NET/JRF/SET Complete General Paper-2021 Updated With Exclusive Charts, Edition-2",425.00,Previous page,,In stock.,https://www.amazon.in/Complete-General-Paper-2021-Updated-Exclusive/dp/B08VJ9YCKL/ref=sr_1_6?dchild=1&keywords=books&qid=1612338311&sr=8-6
The Theory of Everything: The Origin and Fate of the Universe,158.00,4.6 out of 5 stars,"3,610 ratings",In stock.,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919/ref=sr_1_7?dchild=1&keywords=books&qid=1612338311&sr=8-7
One Arranged Murder,128.00,4.2 out of 5 stars,"4,433 ratings",In stock.,https://www.amazon.in/One-Arranged-Murder-Chetan-Bhagat/dp/1542094135/ref=sr_1_8?dchild=1&keywords=books&qid=1612338311&sr=8-8
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,319.00,4.5 out of 5 stars,"2,354 ratings",In stock.,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sr_1_9?dchild=1&keywords=books&qid=1612338311&sr=8-9
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,349.00,4.4 out of 5 stars,"38,493 ratings",In stock.,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=sr_1_10?dchild=1&keywords=books&qid=1612338311&sr=8-10
The Psychology of Money,339.00,4.5 out of 5 stars,"4,297 ratings",In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01451583B82K5U3Y9UWH&url=%2FPsychology-Money-Morgan-Housel%2Fdp%2F9390166268%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1612338311%26sr%3D8-11-spons%26psc%3D1&qualifier=1612338311&id=1888115417853305&widgetName=sp_mtf
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,149.00,4.5 out of 5 stars,"7,881 ratings",In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0551245P3UVHF5UG27V&url=%2FHow-Stop-Worrying-Start-Living%2Fdp%2F8175993952%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1612338311%26sr%3D8-12-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1612338311&id=1888115417853305&widgetName=sp_mtf
Eating in the Age of Dieting,275.00,4.6 out of 5 stars,263 ratings,In stock.,https://www.amazon.in/Eating-Age-Dieting-Rujuta-Diwekar/dp/9389648564/ref=sr_1_13?dchild=1&keywords=books&qid=1612338311&sr=8-13
Activity Books Collection for Early Learning by InIkao : Set of 8 Activity Books for Kindergarten kids,,4.4 out of 5 stars,98 ratings,In stock.,https://www.amazon.in/Activity-Books-Collection-Learning-InIkao/dp/8193752333/ref=sr_1_14_mod_primary_lightning_deal?dchild=1&keywords=books&qid=1612338311&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=A3AYVXJSQ9BMLM&sr=8-14
All set to Read- A Phonic Reader- The Cat and The Rat- Readers for kids,69.00,4.4 out of 5 stars,80 ratings,In stock.,https://www.amazon.in/Cat-Rat-Phonic-Reader/dp/9385273744/ref=sr_1_15?dchild=1&keywords=books&qid=1612338311&sr=8-15
International Mathematics Olympiad Work Book -Class 4,80.00,4.5 out of 5 stars,391 ratings,In stock.,https://www.amazon.in/International-Mathematics-Olympiad-Work-Class/dp/9389590566/ref=sr_1_16?dchild=1&keywords=books&qid=1612338311&sr=8-16
Treating an Enthralling Lady: A Historical Regency Romance Book,,Previous page,,,https://www.amazon.in/Treating-Enthralling-Lady-Historical-Regency-ebook/dp/B08V8TD1M2/ref=sr_1_17?dchild=1&keywords=books&qid=1612338311&sr=8-17
The Magic of the Lost Temple,158.00,4.7 out of 5 stars,"1,576 ratings",In stock.,https://www.amazon.in/Magic-Lost-Temple-Sudha-Murty/dp/014333316X/ref=sr_1_18?dchild=1&keywords=books&qid=1612338311&sr=8-18
ஓப்பன் பண்ணா: open panna (Tamil Edition),,3.8 out of 5 stars,5 ratings,,https://www.amazon.in/%E0%AE%93%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%A9%E0%AF%8D-%E0%AE%AA%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BE-open-panna-Tamil-ebook/dp/B08VDJCX6B/ref=sr_1_19?dchild=1&keywords=books&qid=1612338311&sr=8-19
,,,,,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.5aadb72d-5b48-616a-4ddb-772a33540563%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B07MHXJ373&ref=sr_1_20&keywords=books&qid=1612338311&sr=8-20
"The 5 AM Club: Own Your Morning, Elevate Your Life",210.00,4.4 out of 5 stars,"8,406 ratings",In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05369281F1LX07TKNZCQ&url=%2FAM-Club-Your-Morning-Elevate%2Fdp%2F9387944891%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1612338311%26sr%3D8-21-spons%26psc%3D1&qualifier=1612338311&id=1888115417853305&widgetName=sp_btf
The Leader Who Had No Title,165.00,4.5 out of 5 stars,"1,442 ratings",In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08411712M2UQX41CMWWJ&url=%2FLeader-Who-Had-No-Title%2Fdp%2F8184951191%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1612338311%26sr%3D8-22-spons%26psc%3D1&qualifier=1612338311&id=1888115417853305&widgetName=sp_btf
